unit,unit_name,word,pos,ipa,meaning_vi,definition_en,example_en,example_answer,topics
1,Local community,local,adj,/ˈləʊkəl/,(thuộc) địa phương,,Local markets offer fresh produce and unique items.,local,
1,Local community,community,n,/kəˈmjuːnɪti/,cộng đồng,,The community gathered to clean up the local park.,community,
1,Local community,move (to),v,/muːv/,di chuyển,,They plan to move to a smaller house next month.,,
1,Local community,suburb,n,/ˈsʌbɜːrb/,ngoại ô,,The new shopping center is located in a suburb.,suburb,
1,Local community,neighbour,n,/ˈneɪbər/,hàng xóm,,My neighbour helped me fix my bike yesterday.,neighbour,
1,Local community,facility,n,/fəˈsɪləti/,cơ sở vật chất,,The gym facility has new equipment for members.,facility,
1,Local community,shopping mall,n,/ˈʃɒpɪŋ mɔːl/,trung tâm mua sắm,,They opened a new restaurant in the shopping mall.,shopping mall,
1,Local community,look for,v,/lʊk fɔːr/,tìm kiếm,,I'm looking for a gift for my friend’s birthday.,,
1,Local community,bus station,n,/bʌs ˈsteɪʃən/,trạm xe buýt,,The bus station is crowded during rush hour.,bus station,
1,Local community,remind somebody of,phr.v,/rɪˈmaɪnd ˈsʌmbədi əv/,gợi nhớ cho ai về điều gì,,This smell reminds me of my grandmother's cooking.,,
1,Local community,advice,n,/ədˈvaɪs/,lời khuyên,,My teacher gave me useful advice on studying.,advice,
1,Local community,get on (well) with,phr.v,/ɡet ɒn wɛl wɪð/,có mối quan hệ tốt với ai,,I get on well with my neighbors; we often chat.,,
1,Local community,police officer,n,/pəˈliːs ˈɒfɪsər/,nhân viên cảnh sát,,A police officer patrolled the area on foot.,police officer,
1,Local community,garbage collector,n,/ˈɡɑːrbɪdʒ kəˈlɛktər/,người thu gom rác,,The garbage collector is punctual every morning.,garbage collector,
1,Local community,electrician,n,/ɪˌlɛkˈtrɪʃən/,thợ điện,,We need an electrician to install new lights.,electrician,
1,Local community,firefighter,n,/ˈfaɪərfaɪtər/,nhân viên cứu hỏa,,Firefighters saved the building from the fire.,,
1,Local community,delivery person,n,/dɪˈlɪvəri ˈpɜːrsən/,người giao hàng,,The delivery person brought the package on time.,delivery person,
1,Local community,artisan,n,/ˈɑːrtɪzən/,thợ thủ công,,The artisan creates beautiful pottery by hand.,artisan,
1,Local community,speciality food,n,/ˌspɛʃiˈæləti fuːd/,đặc sản địa phương,,They served speciality food at the cultural festival.,speciality food,
1,Local community,break down,phr.v,/breɪk daʊn/,bị hỏng,,My computer broke down right before the deadline.,,
1,Local community,take (rubbish) away,phr.v,/teɪk əˈweɪ/,vứt/ đổ (rác),,The janitors take the rubbish away every evening.,,
1,Local community,lantern,n,/ˈlæntən/,đèn lồng,,Lanterns lit up the streets during the festival.,,
1,Local community,tourist attraction,n,/ˈtʊərɪst əˈtrækʃən/,địa điểm du lịch,,The Grand Canyon is a major tourist attraction.,tourist attraction,
1,Local community,pottery,n,/ˈpɒtəri/,đồ gốm,,She enjoys making pottery in her free time.,pottery,
1,Local community,bamboo bed,n,/bæmˈbuː bɛd/,giường tre,,They slept on a bamboo bed in the countryside.,bamboo bed,
1,Local community,artist,n,/ˈɑːtɪst/,nghệ nhân,,The artist displayed her latest paintings at the gallery.,artist,
1,Local community,swimming pool,n,/ˈswɪmɪŋ puːl/,bể bơi,,We relax by the swimming pool every weekend.,swimming pool,
1,Local community,handicraft,n,/ˈhændɪkrɑːft/,đồ thủ công,,The shop sells handicrafts made by local artisans.,,
1,Local community,house-warming party,n,/ˈhaʊs wɔːrmɪŋ ˈpɑːrti/,tiệc tân gia,,They hosted a house-warming party to celebrate.,house-warming party,
1,Local community,decide,v,/dɪˈsaɪd/,quyết định,,We need to decide on a date for the meeting.,decide,
1,Local community,go out,phr.v,/ɡoʊ aʊt/,ra ngoài (để đi chơi),,They like to go out and try new restaurants.,go out,
1,Local community,pass down,phr.v,/pæs daʊn/,truyền lại,,The tradition was passed down from generation to generation.,,
1,Local community,cut down on,phr.v,/kʌt daʊn ɒn/,cắt giảm,,She decided to cut down on spending this month.,cut down on,
1,Local community,run out of,phr.v,/rʌn aʊt əv/,"cạn kiệt, hết",,We’ve run out of sugar; I’ll buy some more later.,run out of,
1,Local community,look around,phr.v,/lʊk əˈraʊnd/,nhìn chung quanh,,Let's look around the bookstore for something new.,look around,
1,Local community,come back,phr.v,/kʌm bæk/,"quay trở lại, trở về",,He'll come back home after the holidays.,come back,
1,Local community,find out,phr.v,/faɪnd aʊt/,tìm kiếm,,I need to find out more about this new project.,find out,
1,Local community,take care of,phr.v,/teɪk keər əv/,chăm sóc,,Please take care of my plants while I’m away.,take care of,
1,Local community,seagull,n,/ˈsiːɡʌl/,mòng biển (chim),,Seagulls swooped down to catch fish from the ocean.,,
1,Local community,suitcase,n,/ˈsuːtkeɪs/,va li,,She packed her suitcase for the business trip.,suitcase,
1,Local community,pedestrian street,n,/pəˈdɛstrɪən striːt/,phố đi bộ,,The pedestrian street is busy with tourists and locals.,pedestrian street,
1,Local community,favourite place,n,/ˈfeɪvərɪt pleɪs/,nơi yêu thích,,The coffee shop is my favourite place to work.,favourite place,
1,Local community,preserve,v,/prɪˈzɜːrv/,gìn giữ,,It's important to preserve cultural heritage.,preserve,
1,Local community,shorten,v,/ˈʃɔːrtən/,rút ngắn lại,,They decided to shorten the meeting by 30 minutes.,shorten,
1,Local community,fragrance,n,/ˈfreɪɡrəns/,mùi thơm,,The fragrance of fresh roses filled the air.,fragrance,
1,Local community,original,adj,/əˈrɪdʒɪnəl/,"ban đầu, đầu tiên",,This book is written in its original language.,original,
1,Local community,function,n,/ˈfʌŋkʃən/,chức năng,,The main function of this device is to track steps.,function,
1,Local community,worldwide,adv,/ˈwɜːrldwaɪd/,toàn cầu,,The brand is recognized worldwide.,worldwide,
1,Local community,symbolize,v,/ˈsɪmbəlaɪz/,biểu tượng,,The olive branch symbolizes peace and harmony.,,
1,Local community,traditional technique,n,/trəˈdɪʃənl tɛkˈniːk/,kỹ thuật truyền thống,,The traditional technique of weaving has been preserved.,traditional technique,
1,Local community,consumer,n,/kənˈsuːmər/,"người tiêu thụ, khách hàng",,The new product has attracted many consumers.,,
1,Local community,importance,n,/ɪmˈpɔːrtəns/,tầm quan trọng,,He explained the importance of staying focused.,importance,
1,Local community,hard-working,adj,/ˈhɑːrd ˈwɜːrkɪŋ/,chăm chỉ,,She is known as a hard-working and dedicated employee.,hard-working,
1,Local community,responsible,adj,/rɪˈspɒnsɪbəl/,có trách nhiệm,,He is responsible for handling customer inquiries.,responsible,
1,Local community,stop from,phr.v,/stɒp frɒm/,"cản trở, ngăn chặn",,The rain won’t stop us from having a great time.,,
1,Local community,paper fan,n,/ˈpeɪpər fæn/,quạt giấy,,She used a paper fan to cool herself on a hot day.,paper fan,
1,Local community,famous for,adj,/ˈfeɪməs fɔːr/,nổi tiếng,,The city is famous for its beautiful architecture.,famous for,
1,Local community,sort rubbish,v,/sɔːrt ˈrʌbɪʃ/,phân loại rác thải,,We should sort rubbish into recyclables and non-recyclables.,sort rubbish,
1,Local community,improve,v,/ɪmˈpruːv/,cải thiện,,She wants to improve her public speaking skills.,improve,
1,Local community,wake up,phr.v,,tỉnh dậy,,I wake up at 6 a.m. every day.,wake up,
1,Local community,get up,phr.v,,dậy (khỏi giường),,She gets up early to go to school.,,
1,Local community,go out,phr.v,,ra ngoài,,We go out for dinner on weekends.,go out,
1,Local community,come back,phr.v,,quay lại,,He comes back home at 7 p.m.,,
1,Local community,look for,phr.v,,tìm kiếm,,I am looking for my book.,,
1,Local community,find out,phr.v,,"tìm ra, khám phá",,We need to find out the answer to the question.,find out,
1,Local community,give up,phr.v,,từ bỏ,,She will never give up on her dreams.,give up,
1,Local community,turn on,phr.v,,bật (thiết bị),,Can you turn on the lights?,turn on,
1,Local community,turn off,phr.v,,tắt (thiết bị),,Please turn off the TV when you're done watching.,turn off,
1,Local community,pick up,phr.v,,"nhặt lên, đón (ai)",,He picks up his sister from school every day.,,
1,Local community,put away,phr.v,,cất đi,,Please put away your toys after playing.,put away,
1,Local community,carry on,phr.v,,tiếp tục,,Carry on with your homework.,carry on,
1,Local community,run out of,phr.v,,"hết, cạn kiệt",,We have run out of milk.,run out of,
1,Local community,find out,phr.v,,"phát hiện, tìm hiểu",,We need to find out more about the new project.,find out,
1,Local community,call back,phr.v,,gọi lại,,"I missed your call, so I’ll call you back later.",,
1,Local community,pick out,phr.v,,chọn ra,,She picked out a beautiful dress for the party.,,
1,Local community,take care of,phr.v,,chăm sóc,,Can you take care of my dog while I am away?,take care of,
1,Local community,look after,phr.v,,chăm sóc,,She looks after her younger brother.,,
1,Local community,break down,phr.v,,"hỏng, bị hỏng",,Our car broke down on the way to the beach.,,
1,Local community,come up with,phr.v,,"nghĩ ra, đề xuất",,She came up with a great idea for the project.,,
1,Local community,check out,phr.v,,"kiểm tra, trả lại (sách)",,Don’t forget to check out the book before you leave.,check out,
1,Local community,put on,phr.v,,"mặc vào, đeo vào",,He put on his coat before going outside.,put on,
1,Local community,take off,phr.v,,cởi ra,,Please take off your shoes before entering the house.,take off,
1,Local community,work out,phr.v,,"tập thể dục, giải quyết",,I work out at the gym three times a week.,work out,
2,City life,city life,N,/ˈsɪti laɪf/,cuộc sống thành thị,,The bustling city life is both exciting and demanding.,city life,
2,City life,pick sb up,PV,/pɪkˈsʌmbədi ʌp/,đón,,Can you pick me up from the train station?,,
2,City life,packed,Adj,/pækt/,chật chội,,The stadium was packed with cheering fans.,packed,
